,text,answer_start,q_idx
3079,요시다 요시오 감독,46,6467234-7-2
3080,노무라,122,6522992-8-0
3081,1977년,399,6522992-8-1
3082,구원 투수,227,6523006-8-0
3083,19세이브,432,6523006-8-1
3084,혈행장애와 심장질환,26,6467234-8-0
3085,노무라 감독,219,6467234-8-1
3086,19세이브,432,6467234-8-2
3087,난카이 호크스,216,6522992-9-0
3088,노무라,81,6522992-9-1
3089,검은 안개 사건,311,6467234-9-0
3090,노무라 감독,9,6467234-9-1
3091,히로시마,234,6522992-10-0
3092,노무라,14,6522992-10-1
3093,1979년,295,6522992-10-2
3094,히로시마 도요 카프,80,6523006-10-0
3095,1979년,295,6523006-10-1
3096,히로시마 도요 카프,80,6467234-10-0
3097,1979년,295,6467234-10-1
3098,9회말,69,6522992-11-0
3099,1980년 7월 22일,4,6522992-11-1
3100,고라쿠엔 구장,18,6523006-11-0
3101,노무라 오사무,140,6523006-11-1
3102,노무라 오사무,140,6467234-11-0
3103,9연속,299,6467234-11-1
3104,승리 투수,35,6522992-12-0
3105,2018년 4월,415,6522992-12-1
3106,기누가사 사치오,105,6522992-12-2
3107,기누가사 사치오,105,6523006-12-0
3108,오노 유타카,211,6523006-12-1
3109,기누가사 사치오,105,6467234-12-0
3110,오노 유타카,211,6467234-12-1
3111,에나쓰,229,6522992-13-0
3112,1981년,120,6522992-13-1
3113,닛폰햄,146,6523006-13-0
3114,200승,449,6523006-13-1
3115,200승,449,6523006-13-2
3116,오사와,38,6467234-13-0
3117,1981년,120,6467234-13-1
3118,히로오카 다쓰로,23,6522992-14-0
3119,세이부 라이온스,50,6522992-14-1
3120,히로오카 다쓰로,23,6523006-14-0
3121,푸시 번트,240,6523006-14-1
3122,히로오카,151,6467234-14-0
3123,푸시 번트,240,6467234-14-1
3124,세이부 라이온스,142,6522992-15-0
3125,사카이 야스유키,238,6522992-15-1
3126,히로오카 다쓰로,326,6522992-15-2
3127,세이부 라이온스,142,6523006-15-0
3128,사카이 야스유키,238,6523006-15-1
3129,세이부,95,6467234-15-0
3130,세이부 라이온스,142,6467234-15-1
3131,7월 12일,357,6522992-16-0
3132,1984년,0,6522992-16-1
3133,1984년,0,6523006-16-0
3134,잇폰스기 공원 야구장,544,6523006-16-1
3135,히로오카 감독,66,6467234-16-0
3136,신문 보도,218,6467234-16-1
3137,7월 12일,357,6467234-16-2
3138,모리 마사히코 배터리,81,6522992-17-0
3139,1984년,171,6522992-17-1
3140,히로오카 감독과의 갈등,23,6523006-17-0
3141,통풍,374,6523006-17-1
3142,히로오카 감독,23,6467234-17-0
3143,스프링 캠프의 조찬회,177,6467234-17-1
3144,1993년 3월 2일,4,6522992-18-0
3145,닛폰햄 파이터스,73,6522992-18-1
3146,52g,368,6522992-18-2
3147,각성제 단속법 위반 혐의,34,6523006-18-0
3148,징역 2년 4개월의 실형,493,6523006-18-1
3149,1995년 4월,599,6523006-18-2
3150,각성제,17,6467234-18-0
3151,임시 코치,83,6467234-18-1
3152,야마모토 조지,230,6522992-19-0
3153,언제 봐도 파란만장,277,6522992-19-1
3154,아베 조지,149,6467234-19-0
3155,언제 봐도 파란만장,277,6467234-19-1
3156,1995년 6월,16,6522992-20-0
3157,분카 방송,27,6522992-20-1
3158,자네,214,6523006-20-0
3159,주간 플레이보이,282,6523006-20-1
3160,자네,214,6467234-20-0
3161,직업,258,6467234-20-1
3162,복사,264,6595843-0-0
3163,수소,17,6595843-0-1
3164,항성,67,5890022-0-0
3165,항성의 초기질량,98,5890022-0-1
3166,"탄소, 질소, 산소",160,6595843-1-0
3167,핵,423,6595843-1-1
3168,1.5 M☉ 이하,68,5890022-1-0
3169,"탄소, 질소, 산소",160,5890022-1-1
3170,헤르츠스프룽,335,6595843-2-0
3171,1906년,0,6595843-2-1
3172,헤르츠스프룽,335,5890022-2-0
3173,거성,161,5890022-2-1
3174,왜성,167,5890022-2-2
3175,V,367,6595843-3-0
3176,1943년,0,6595843-3-1
3177,O,271,5890022-3-0
3178,W. W. 모건과 P. C. 키넌,6,5890022-3-1
3179,V,340,5890022-3-2
3180,청색,301,6595843-4-0
3181,왜성,7,6595843-4-1
3182,왜성,7,5890022-4-0
3183,청색 및 백색,158,5890022-4-1
3184,A 분광형,29,6595843-5-0
3185,중심핵 지대,216,6595843-5-1
3186,A 분광형의 항성,29,5890022-5-0
3187,적색,245,5890022-5-1
3188,수소의 양,55,5890022-6-0
3189,온도와 압력,100,5890022-6-1
3190,준왜성,291,6595843-7-0
3191,광도,356,6595843-7-1
3192,수소 핵융합,324,5890022-7-0
3193,금속,336,5890022-7-1
3194,경강선,66,5781892-0-0
3195,원주공항,348,5781892-0-1
3196,영동고속도로,464,5781892-0-2
3197,양양국제공항,331,6469594-0-0
3198,광주원주고속도로 개통,206,6469594-0-1
3199,강릉 올림픽 프라자,375,6469594-0-2
3200,강원도,0,6469595-0-0
3201,KTX,116,6469595-0-1
3202,광주원주고속도로,206,6469595-0-2
3203,러시아,0,5781892-1-0
3204,Olympic Athlete from Russia,195,5781892-1-1
3205,러시아,0,6469594-1-0
3206,혼성 컬링,336,6469594-1-1
3207,블라디미르 푸틴,85,6469594-1-2
3208,러시아,0,6469595-1-0
3209,도핑 문제,36,6469595-1-1
3210,혼성 컬링,336,6469595-1-2
3211,토마스 바흐,13,5781892-2-0
3212,어젠다 2020,211,5781892-2-1
3213,127회,167,6469594-2-0
3214,이틀,35,6469594-2-1
3215,토마스 바흐,13,6469595-2-0
3216,어젠다 2020,53,6469595-2-1
3217,IOC,20,6469595-2-2
3218,하와이 대학교,151,6508071-0-0
3219,카피올라니 병원,13,6508071-0-1
3220,카피올라니 병원,13,6108839-0-0
3221,1961년,181,6108839-0-1
3222,케냐,280,6108839-0-2
3223,호놀룰루,7,6581697-0-0
3224,2살,224,6581697-0-1
3225,1964년,247,6581697-0-2
3226,최대의 도덕적 과오,452,6108839-1-0
3227,2008년,367,6108839-1-1
3228,2008년,367,6581697-1-0
3229,"마리화나, 코카인",304,6581697-1-1
3230,옥시덴탈 대학교,30,6508071-2-0
3231,Earl Chew,87,6508071-2-1
3232,컬럼비아 대학교,139,6508071-2-2
3233,1979년,16,6108839-2-0
3234,국제 관계학,154,6108839-2-1
3235,1983년,190,6108839-2-2
3236,로스앤젤레스,22,6581697-2-0
3237,1979년,16,6581697-2-1
3238,1981년,125,6581697-2-2
3239,지역사회 개발 프로젝트,210,6508071-3-0
3240,개메일리얼 재단,567,6508071-3-1
3241,시민단체 운동가,39,6108839-3-0
3242,시카고,201,6108839-3-1
3243,13명,445,6108839-3-2
3244,23세,33,6581697-3-0
3245,"12,000달러",258,6581697-3-1
3246,지역사회 개발 프로젝트,210,6581697-3-2
3247,하버드 로리뷰,59,6508071-4-0
3248,내 아버지로부터의 꿈,540,6508071-4-1
3249,하버드 로스쿨,14,6108839-4-0
3250,2학년 후,194,6108839-4-1
3251,1992년 10월,562,6108839-4-2
3252,하버드,14,6581697-4-0
3253,하버드 로리뷰,59,6581697-4-1
3254,1991년,332,6581697-4-2
3255,시카고 애넨버그 챌린지,225,6508071-5-0
3256,공공 동맹,11,6508071-5-1
3257,공공 동맹,11,6108839-5-0
3258,2002년,168,6108839-5-1
3259,1993년,48,6581697-5-0
3260,공공 동맹,11,6581697-5-1
3261,1992년,5,6581697-5-2
3262,일리노이 제13구,119,6508071-6-0
3263,양당 합동 행정 조례 위원회,259,6508071-6-1
3264,일리노이 상원,28,6108839-6-0
3265,윤리 및 의료 입법,146,6108839-6-1
3266,1996년,0,6581697-6-0
3267,윤리 및 의료 입법,146,6581697-6-1
3268,공화당,287,6581697-6-2
3269,미국 상원 선거,368,6108839-7-0
3270,2003년 1월,0,6108839-7-1
3271,2003년,0,6581697-7-0
3272,의료 및 인간 서비스 위원회,61,6581697-7-1
3273,2004년,327,6581697-7-2
3274,2002년 5월,0,6108839-8-0
3275,2003년 1월,132,6108839-8-1
3276,15명,238,6108839-8-2
3277,1월,138,6581697-8-0
3278,2002년,62,6581697-8-1
3279,CQ 위클리,171,6508071-9-0
3280,내셔널 저널,240,6508071-9-1
3281,Congress.org,351,6508071-9-2
3282,다섯 번째,63,6108839-9-0
3283,세 번째,82,6108839-9-1
3284,성실한 민주당원,223,6108839-9-2
3285,2005년,0,6581697-9-0
3286,다섯 번째,63,6581697-9-1
3287,루거-오바마 법안,143,6508071-10-0
3288,코번-오바마 투명성 법안,248,6508071-10-1
3289,2008년 연방 지출의 투명성 및 책임성 강화 법안,317,6508071-10-2
3290,2005년,5,6108839-10-0
3291,루거-오바마 법안,143,6108839-10-1
3292,2006년,87,6581697-10-0
3293,2005년,5,6581697-10-1
3294,링컨 대통령,12,6108839-11-0
3295,150년,431,6108839-11-1
3296,링컨,12,6581697-11-0
3297,1865년,374,6581697-11-1
3298,큰 정부,41,6108839-12-0
3299,공화당,462,6108839-12-1
3300,오사마 빈 라덴,245,6581697-12-0
3301,공화당,74,6581697-12-1
3302,민주당,4,6108839-13-0
3303,65세,303,6108839-13-1
3304,미니애폴리스 타깃센터,143,6581697-13-0
3305,미네소타주,137,6581697-13-1
3306,유은진,52,6508071-14-0
3307,남-북한 정부에 보내는 메시지,69,6508071-14-1
3308,한반도 비핵화,248,6108839-14-0
3309,자동차시장,418,6108839-14-1
3310,유은진,52,6581697-14-0
3311,외교위원회,34,6581697-14-1
3312,러시아,19,6585377-0-0
3313,미국,254,6585377-0-1
3314,1월 2일,12,6585377-0-2
3315,어메이징 스토리,295,6457638-0-0
3316,1월 2일,12,6457638-0-1
3317,어메이징 스토리,295,6521075-0-0
3318,사탕상점,334,6521075-0-1
3319,사이언스,411,6521075-0-2
3320,1939년,0,6585377-1-0
3321,거트 루드,244,6585377-1-1
3322,연구원,215,6585377-1-2
3323,컬럼비아 대학,12,6457638-1-0
3324,제2차 세계대전의 발발,264,6457638-1-1
3325,화학,38,6521075-1-0
3326,거트 루드,244,6521075-1-1
3327,1946년,0,6585377-2-0
3328,우주의 조약돌,297,6585377-2-1
3329,우주의 조약돌,297,6457638-2-0
3330,생화학 강사,98,6457638-2-1
3331,우주의 조약돌,297,6521075-2-0
3332,강철 도시,444,6521075-2-1
3333,워마드,14,5824544-0-0
3334,워마드,14,5824544-0-1
3335,미러링,25,6526546-0-0
3336,이광택 경희대학교 교수,57,6526546-0-1
3337,이광택,57,6605492-0-0
3338,고려대학교,165,6605492-0-1
3339,이나미심리분석연구원,226,6605492-0-2
3340,7월 28일,131,6526546-1-0
3341,허위,345,6526546-1-1
3342,7월 28일,131,6605492-1-0
3343,다음카카오,255,6605492-1-1
3344,한남충,125,5824544-2-0
3345,사자 명예훼손,288,5824544-2-1
3346,안중근과 윤봉길,18,6526546-2-0
3347,사자 명예훼손,288,6526546-2-1
3348,이성섭,335,6605492-2-0
3349,안중근,78,6605492-2-1
3350,호주국자,32,5824544-3-0
3351,샘 해밍턴,144,5824544-3-1
3352,오스트레일리아,73,6526546-3-0
3353,호주국자,32,6526546-3-1
3354,오스트레일리아,15,6605492-3-0
3355,11월 20일,212,6605492-3-1
3356,1989년,9,6530244-0-0
3357,박태환,0,6530244-0-1
3358,박태환,0,6530244-0-2
3359,자유형 400m,73,6417865-0-0
3360,베이징,65,6417865-0-1
3361,2012년,143,6417865-0-2
3362,박태환,0,6507739-0-0
3363,금메달,85,6507739-0-1
3364,은메달,102,6507739-0-2
3365,은메달,46,6530244-1-0
3366,6개,148,6530244-1-1
3367,20개,181,6530244-1-2
3368,네비도,262,6417865-1-0
3369,인천,137,6417865-1-1
3370,리우 올림픽,335,6417865-1-2
3371,은메달,46,6507739-1-0
3372,6개,148,6507739-1-1
3373,네비도,262,6507739-1-2
3374,네비도,32,6530244-2-0
3375,박태환,547,6530244-2-1
3376,리우 올림픽,318,6530244-2-2
3377,스테로이드,18,6417865-2-0
3378,이중처벌 철회,506,6417865-2-1
3379,3년,255,6417865-2-2
3380,3년,255,6507739-2-0
3381,국제스포츠 중재재판소,471,6507739-2-1
3382,노민상 수영교실,168,6507739-2-2
3383,FINA,163,6530244-3-0
3384,2014년,0,6530244-3-1
3385,100만원,436,6530244-3-2
3386,2014년,0,6507739-3-0
3387,FINA,60,6507739-3-1
3388,100만원,436,6507739-3-2
3389,2015년,23,6530244-4-0
3390,이두봉,106,6530244-4-1
3391,성장호르몬 주사,430,6530244-4-2
3392,치료목적 사용면책,875,6417865-4-0
3393,테스토스테론,329,6417865-4-1
3394,PRP(자가혈치료술),612,6417865-4-2
3395,2015년,23,6507739-4-0
3396,2회,479,6507739-4-1
3397,테스토스테론,329,6507739-4-2
3398,도핑방지교육,47,6530244-5-0
3399,한국도핑방지교육,60,6530244-5-1
3400,여섯가지,301,6530244-5-2
3401,도핑방지교육,47,6417865-5-0
3402,상시금지약물,293,6417865-5-1
3403,1회,40,6507739-5-0
3404,동화작용제,316,6507739-5-1
3405,"펩티드호르몬, 성장인자",333,6507739-5-2
3406,한나라당,57,6570007-0-0
3407,한국투자공사,79,6570007-0-1
3408,정책성명,99,6570007-0-2
3409,한국투자공사(KIC),79,6464818-0-0
3410,한국은행,240,6464818-0-1
3411,재정경제부,103,6570007-1-0
3412,1천500억 달러,139,6570007-1-1
3413,뉴딜투자,346,6570007-1-2
3414,국민연금,290,6464818-1-0
3415,최경환 의원,0,6464818-1-1
3416,민주노동당,4,6570007-2-0
3417,한국투자공사,252,6570007-2-1
3418,이강원,277,6570007-2-2
3419,심상정 민주노동당 의원,0,6464818-2-0
3420,이강원,277,6464818-2-1
3421,한나라당,4,6570007-3-0
3422,0원,93,6570007-3-1
3423,1억3천6백만 원,159,6570007-3-2
3424,1억3천6백만 원,159,6464818-3-0
3425,0원,93,6464818-3-1
3426,20여개국,70,6471453-0-0
3427,기린 비에른손 훈장,266,6471453-0-1
3428,시카다상,340,6471453-0-2
3429,20여개국,70,6471467-0-0
3430,군산의 제왕,374,6471467-0-1
3431,군산의 제왕,374,6227520-0-0
3432,비에른손 훈장,269,6227520-0-1
3433,북유럽,204,6227520-0-2
3434,2NE1,176,5782603-0-0
3435,2NE1,66,5782603-0-1
3436,2NE1 스타일,309,5782603-0-2
3437,2NE1 스타일,309,6471356-0-0
3438,대중문화 산업,245,6471356-0-1
3439,I Don't Care,57,5782603-1-0
3440,공민지,826,5782603-1-1
3441,1집,225,5782603-1-2
3442,I Don't Care,57,6482354-1-0
3443,2011년,460,6482354-1-1
3444,안녕,917,6482354-1-2
3445,To Anyone,165,6471356-1-0
3446,2011년 7월 28일,324,6471356-1-1
3447,11개,612,6471356-1-2
3448,12시간,70,5782603-2-0
3449,여자 빅뱅,137,5782603-2-1
3450,4년,36,5782603-2-2
3451,여자 빅뱅,137,6482354-2-0
3452,21C New Evolution,354,6482354-2-1
3453,21,160,6482354-2-2
3454,여자 빅뱅,137,6471356-2-0
3455,4년,36,6471356-2-1
3456,합숙,100,6471356-2-2
3457,테디,148,5782603-3-0
3458,박산다라,384,5782603-3-1
3459,5주,207,5782603-3-2
3460,20만 장,121,6482354-3-0
3461,박산다라,384,6482354-3-1
3462,Please Don't Go,505,6482354-3-2
3463,테디,148,6471356-3-0
3464,공민지와 CL,483,6471356-3-1
3465,I Don't Care,630,6471356-3-2
3466,5관왕,587,5782603-4-0
3467,세 곡,175,5782603-4-1
3468,2010년,0,5782603-4-2
3469,박수쳐,171,6482354-4-0
3470,최우수 댄스 & 일렉트로닉 음반 부문상,694,6482354-4-1
3471,Can't Nobody,329,6482354-4-2
3472,세 곡,175,6471356-4-0
3473,가온 차트,434,6471356-4-1
3474,제12회 Mnet 아시안 뮤직 어워드,521,6471356-4-2
3475,NOLZA,929,5782603-5-0
3476,3주,15,5782603-5-1
3477,Lonely,302,5782603-5-2
3478,NOLZA,929,6482354-5-0
3479,Lonely,205,6482354-5-1
3480,Lonely,171,6471356-5-0
3481,Hate You,488,6471356-5-1
3482,5곡,639,6471356-5-2
3483,NOLZA,32,5782603-6-0
3484,12위,257,5782603-6-1
3485,Collection,524,5782603-6-2
3486,2011년 세계 최고의 신인 밴드,299,6482354-6-0
3487,Collection,524,6482354-6-1
3488,일본 치바 마쿠하리 멧세 이벤트홀,667,6482354-6-2
3489,일본어,92,6471356-6-0
3490,Collection,524,6471356-6-1
3491,씨엘,1051,5782603-7-0
3492,마약밀수,787,5782603-7-1
3493,13개,121,5782603-7-2
3494,ALL OR NOTHING,47,6482354-7-0
3495,스쿠터 브라운,1066,6482354-7-1
3496,CRUSH,180,6482354-7-2
3497,서울,112,6471356-7-0
3498,스쿠터 브라운,1066,6471356-7-1
3499,SBS 가요대전,808,6471356-7-2
3500,2015 MAMA,336,5782603-8-0
3501,공민지,150,5782603-8-1
3502,미국진출,107,5782603-8-2
3503,Hello Bitches,350,6482354-8-0
3504,2015 MAMA,336,6482354-8-1
3505,내가 제일 잘 나가,469,6482354-8-2
3506,공민지,150,6471356-8-0
3507,2015 MAMA,336,6471356-8-1
3508,21,243,6471356-8-2
3509,뮤직웍스,600,5782603-9-0
3510,공민지,115,5782603-9-1
3511,공민지,595,6482354-9-0
3512,뮤직웍스,600,6482354-9-1
3513,5월 5일,559,6482354-9-2
3514,공민지,25,6471356-9-0
3515,뮤직웍스,600,6471356-9-1
3516,CL과 산다라박,273,5782603-10-0
3517,2016년,0,5782603-10-1
3518,CL과 산다라박,273,6482354-10-0
3519,2016년 11월 26일,0,6482354-10-1
3520,산다라박과 씨엘,357,6471356-10-0
3521,박봄,302,6471356-10-1
3522,23화,8,6465056-0-0
3523,67일,156,6465056-0-1
3524,수요일,56,6496300-0-0
3525,생존자팀,380,6496300-0-1
3526,23화,8,6496309-0-0
3527,67일,156,6496309-0-1
3528,디아더스,278,6496309-0-2
3529,18화,8,6465056-1-0
3530,핵폭발,244,6465056-1-1
3531,시즌 5,83,6496300-1-0
3532,수미상관,376,6496300-1-1
3533,시즌 5,83,6496309-1-0
3534,2004년,151,6496309-1-1
3535,수미상관식,376,6496309-1-2
3536,권선화,232,6465056-2-0
3537,권진수,255,6465056-2-1
3538,14명,10,6496300-2-0
3539,다니엘 대 킴,238,6496300-2-1
3540,매튜 폭스,88,6496300-2-2
3541,14명,10,6496309-2-0
3542,권선화,232,6496309-2-1
3543,다니엘 대 킴,238,6496309-2-2
3544,마이클,325,6465056-3-0
3545,마일즈 스트라움,427,6465056-3-1
3546,미스터 에코,205,6496300-3-0
3547,켄 렁,437,6496300-3-1
3548,미스터 에코,205,6496309-3-0
3549,해럴드 페리네우,330,6496309-3-1
3550,실종,539,6496309-3-2
3551,뉴 피플,171,6465056-4-0
3552,미스트,274,6465056-4-1
3553,로이드 브라운,38,6496300-4-0
3554,초자연적 현상 소재,486,6496300-4-1
3555,미스트,274,6496309-4-0
3556,제프리 리에버,302,6496309-4-1
3557,J. J. 에이브럼스,399,6496309-4-2
3558,케이트,601,6465056-5-0
3559,남부 억양,435,6465056-5-1
3560,로즈,211,6496300-5-0
3561,할로웨이,525,6496300-5-1
3562,마이클 에멀슨,828,6496300-5-2
3563,소이어,263,6496309-5-0
3564,케이트,601,6496309-5-1
3565,헨리 게일,842,6496309-5-2
3566,호놀룰루,62,6465056-6-0
3567,하와이 컨벤션 센터,103,6465056-6-1
3568,호놀룰루,62,6496300-6-0
3569,로스엔젤레스,226,6496300-6-1
3570,호놀룰루,62,6496309-6-0
3571,Lost Virtual Tour,343,6496309-6-1
3572,1600,14,6465056-7-0
3573,1210,697,6465056-7-1
3574,8위,148,6496300-7-0
3575,시즌 3,236,6496300-7-1
3576,1600만명,14,6496309-7-0
3577,CSI마이애미,648,6496309-7-1
3578,오프닝,361,6465056-8-0
3579,50,254,6465056-8-1
3580,로스트,1,6496300-8-0
3581,로이터,369,6496300-8-1
3582,로스트,1,6496309-8-0
3583,ABC,420,6496309-8-1
3584,2004년,20,6465056-9-0
3585,KBS,14,6465056-9-1
3586,채널CGV,79,6496300-9-0
3587,시즌 3,257,6496300-9-1
3588,KBS,14,6496309-9-0
3589,채널CGV,206,6496309-9-1
3590,2009년,452,6496309-9-2
3591,디지털 정보 디스플레이,0,6481169-0-0
3592,DID,178,6481169-0-1
3593,디스플레이 제품,60,6472073-0-0
3594,컴퓨터,246,6472073-0-1
3595,DID 패널,277,5782996-0-0
3596,DID 패널,277,5782996-0-1
3597,공공정보 게시용 디스플레이 제품,51,5782996-0-2
3598,DID,231,6481169-1-0
3599,시각적 정보,314,6481169-1-1
3600,공공용,7,6472073-1-0
3601,터치스크린,187,6472073-1-1
3602,시각적 정보,314,6472073-1-2
3603,시각적 정보를 제공,314,5782996-1-0
3604,사용자가 직접 실행,803,5782996-1-1
3605,터치스크린,187,5782996-1-2
3606,핑거터치,322,6481169-2-0
3607,913대,383,6481169-2-1
3608,터치,8,6472073-2-0
3609,117개,369,6472073-2-1
3610,SM 엔터테인먼트,9,5783680-0-0
3611,《MAMA》,54,5783680-0-1
3612,«늑대와 미녀»,534,5783680-0-2
3613,EXO,41,6472156-0-0
3614,으르렁,582,6472156-0-1
3615,SM,9,6472158-0-0
3616,9인조,28,6472158-0-1
3617,2012년 4월 8일,62,6472158-0-2
3618,크리스,13,5783680-1-0
3619,EXO-L,315,5783680-1-1
3620,크리스와 루한,142,5783680-1-2
3621,EXO-L,315,6472156-1-0
3622,타오,106,6472156-1-1
3623,2014년,0,6472158-1-0
3624,2015년,89,6472158-1-1
3625,2016년,129,6472158-1-2
3626,SM 엔터테인먼트,167,5783680-2-0
3627,SM 엔터테인먼트,167,5783680-2-1
3628,"2014년 10월,",0,5783680-2-2
3629,EXO-M,37,6472156-2-0
3630,2014년,0,6472156-2-1
3631,'Z.TAO'(黄子韬),129,5783680-3-0
3632,2015년 7월,0,5783680-3-1
3633,고척 스카이돔,319,5783680-3-2
3634,타오,113,6472156-3-0
3635,고척 스카이돔에서,319,6472156-3-1
3636,LOVE ME RIGHT,19,5783680-4-0
3637,《SING FOR YOU》,183,5783680-4-1
3638,잠실 롯데월드,222,5783680-4-2
3639,쿄세라돔,84,6472156-4-0
3640,SING FOR YOU,184,6472156-4-1
3641,138만명,300,6472158-4-0
3642,23일,333,6472158-4-1
3643,《Dream》,33,5783680-5-0
3644,LOVE ME RIGHT,320,5783680-5-1
3645,《EX`ACT》,386,5783680-5-2
3646,Dream,34,6472156-5-0
3647,Monster,412,6472156-5-1
3648,《LOTTO》,19,5783680-6-0
3649,"""Louder""",154,5783680-6-1
3650,《Dancing King》,343,5783680-6-2
3651,Louder,155,6472156-6-0
3652,Dancing King,344,6472156-6-1
3653,리패키지 앨범,11,6472158-6-0
3654,Lotto,42,6472158-6-1
3655,무한도전,297,6472158-6-2
3656,5년,18,5783680-7-0
3657,23개,57,5783680-7-1
3658,900만장 육박,545,5783680-7-2
3659,5년,18,6472156-7-0
3660,평창 동계올림픽 폐막식,586,6472156-7-1
3661,잠실 주경기장,518,6472158-7-0
3662,900만장,545,6472158-7-1
3663,폐막식 무대,595,6472158-7-2
3664,《THE WAR》,22,5783680-8-0
3665,"""Ko Ko Bop""",38,5783680-8-1
3666,THE WAR: The Power of Music,343,5783680-8-2
3667,Ko Ko Bop,39,6472156-8-0
3668,아는 형님,116,6472156-8-1
3669,2017년 7월 18일,0,6472158-8-0
3670,6일만,181,6472158-8-1
3671,24일,274,6472158-8-2
3672,더 클리닉,295,6457389-0-0
3673,2014,606,6457389-0-1
3674,1994년,62,6519500-0-0
3675,2007년,311,6519500-0-1
3676,아비게일 윌리엄스,655,6519500-0-2
3677,아일랜드 더블린,94,6457389-1-0
3678,아르다틴 국립학교,262,6457389-1-1
3679,뉴욕 주,21,6519500-1-0
3680,아일랜드,94,6519500-1-1
3681,게이어티극장,179,6519500-1-2
3682,2003년,4,6457389-2-0
3683,루나 러브굿 역할,113,6457389-2-1
3684,루나 러브굿,113,6519500-2-0
3685,2005년,179,6519500-2-1
3686,어톤먼트,51,6457389-3-0
3687,어톤먼트,51,6457389-3-1
3688,조 라이트,31,6519500-3-0
3689,브라이오니 탤리스,122,6519500-3-1
3690,디 애틀랜틱,273,6519500-3-2
3691,리처드 콜리스,420,6457389-4-0
3692,박스 오피스,592,6457389-4-1
3693,피터 잭슨,34,6519500-4-0
3694,2009년,0,6519500-4-1
3695,한나,322,6457389-5-0
3696,조 라이트,277,6457389-5-1
3697,피터 위어,44,6519500-5-0
3698,타이틀 롤,328,6519500-5-1
3699,스튜디오 지브리,592,6519500-5-2
3700,젬마 아터튼,314,6457389-6-0
3701,캐빈 맥도널드,564,6457389-6-1
3702,데이지,47,6519500-6-0
3703,닐 조단,223,6519500-6-1
3704,캐빈 맥도널드,564,6519500-6-2
3705,제프리 맥냅,324,6457389-7-0
3706,제프리 맥냅,324,6457389-7-1
3707,웨스 앤더슨,26,6519500-7-0
3708,라이언 고슬링,56,6519500-7-1
3709,렛,292,6519500-7-2
3710,브루클린,68,6457389-8-0
3711,피터 브래드쇼,287,6457389-8-1
3712,존 크로울리,123,6519500-8-0
3713,엘리스 레이시,105,6519500-8-1
3714,칼럼 토이빈,141,6519500-8-2
3715,온 체실 비치,357,6457389-9-0
3716,케이트 어블랑,420,6457389-9-1
3717,아서 밀러,50,6519500-9-0
3718,이언 매큐언,335,6519500-9-1
3719,레이디 버드,32,6457389-10-0
3720,레이디 버드,93,6457389-10-1
3721,그레타 거윅,14,6519500-10-0
3722,미국 배우 조합상,399,6519500-10-1
3723,8도,96,6594839-0-0
3724,고려,16,6594839-0-1
3725,고려,16,6551879-0-0
3726,관찰사,110,6551879-0-1
3727,8도,96,5879165-0-0
3728,고려,16,5879165-0-1
3729,면,347,6551879-1-0
3730,개성부,391,6551879-1-1
3731,천민,239,5879165-1-0
3732,면(面),347,5879165-1-1
3733,"취락(聚落)의 대소(大小),",22,5879165-1-2
3734,수령,32,6594839-2-0
3735,1명,145,6594839-2-1
3736,서리,441,6594839-2-2
3737,관찰사,0,6551879-2-0
3738,판관,180,6551879-2-1
3739,군교,521,6551879-2-2
3740,관찰사,0,5879165-2-0
3741,지방행정관,327,5879165-2-1
3742,경찰권(警察權),537,5879165-2-2
3743,지방분권,12,6594839-3-0
3744,향소,250,6594839-3-1
3745,오가작통,332,6594839-3-2
3746,지방관의 임기,32,6551879-3-0
3747,향소,250,6551879-3-1
3748,암행어사,227,6551879-3-2
3749,암행어사(暗行御史),227,5879165-3-0
3750,"향약(鄕約)을 보급,",258,5879165-3-1
3751,임기,37,5879165-3-2
3752,2010년,0,6578232-0-0
3753,1 Life 2 Live,261,6578232-0-1
3754,도끼,84,6578232-0-2
3755,Ambition Music,413,6491237-0-0
3756,소울 컴퍼니,59,6491237-0-1
3757,Show Me The Money 5,295,6491237-0-2
3758,일리네어 레코즈,91,6290580-0-0
3759,AMBITIQN,143,6290580-0-1
3760,Ambition Music,413,6290580-0-2
3761,1967년 6월 2일,89,5782863-0-0
3762,Sgt. Pepper's Lonely Hearts Club Band,1,5782863-0-1
3763,15주,169,5782863-0-2
3764,1967년,70,6568043-0-0
3765,27주,153,6568043-0-1
3766,그래미 어워드,305,6568043-0-2
3767,1967년 5월 26일,70,6553999-0-0
3768,그래미 어워드,305,6553999-0-1
3769,15주,169,6553999-0-2
3770,1966년 8월,0,5782863-1-0
3771,제2 애비 로드 스튜디오,202,5782863-1-1
3772,폴 매카트니,82,5782863-1-2
3773,1966년,0,6568043-1-0
3774,폴 매카트니,82,6568043-1-1
3775,EMI,300,6568043-1-2
3776,세 달,28,6553999-1-0
3777,폴 매카트니,82,6553999-1-1
3778,페퍼 상사,86,6568043-2-0
3779,조지 마틴,401,6568043-2-1
3780,잰 하워스,590,6568043-2-2
3781,Revolver,179,6553999-2-0
3782,조지 마틴,401,6553999-2-1
3783,1967년 4월 21일,503,6553999-2-2
3784,프로그레시브 록,131,6568043-3-0
3785,미국 의회 도서관,270,6568043-3-1
